reply_uri,reply_cid,original_post_uri,original_post_text,original_post_author_handle,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did,palavras_encontradas,contagem_palavras
at://did:plc:wt7tn3vdvhchg4yi3xkcyjjk/app.bsky.feed.post/3l34ykwr4ww2p,bafyreib4lhv4ezymzrwxe4f5jcnm3kiqxtc5v33ze2kcfehjgap5qqttu4,at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l34piuvhd52o,"Marçal, você é um bandido condenado. As pessoas estão descobrindo isso e vão descobrir ainda mais até o dia 6 de outubro! #BoulosPrefeito50 #DebateGazetaMyNews",guilhermeboulos.bsky.social,"O olhar do Boules no debate é muito falso, artificial, mente e acredita na mentira, isso é mto perigoso",2024-09-02T00:00:42Z,0,0,3,2024-09-02T00:00:42Z,pfjunior.bsky.social,Paulo Jr,did:plc:wt7tn3vdvhchg4yi3xkcyjjk,Boules,1
at://did:plc:fx677mbq2z6247gpp3xvucke/app.bsky.feed.post/3l357w5q5oq2b,bafyreibassmfbm72ldxew64xwhisb47bas5b3y45xeaof6nyaakpvxd5nm,at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l34piuvhd52o,"Marçal, você é um bandido condenado. As pessoas estão descobrindo isso e vão descobrir ainda mais até o dia 6 de outubro! #BoulosPrefeito50 #DebateGazetaMyNews",guilhermeboulos.bsky.social,"Tadinho do bandido...O cara é inescrupuloso , M, só se for de Mau-caráter, Malandro, Mentiroso, Merda!",2024-09-02T02:12:14Z,0,0,0,2024-09-02T02:12:14Z,shanell8.bsky.social,Shanell,did:plc:fx677mbq2z6247gpp3xvucke,"Mentiroso, Merda",2
at://did:plc:mecq2mmvsxdhnqb6egwbduco/app.bsky.feed.post/3l5qz3r6ryx2b,bafyreihitdixf3k5mcvr6hboi35hxzxspekwx2zztqzik3rpc3bcuwr7by,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5qdxx54772x,"O que Pablo Marçal fez hoje é CRIMINOSO.

Ele postou um falso laudo que supostamente provaria que Boulos foi internado por ""uso de drogas"".

No dia da falsa internação, ele estava fazendo Live. No dia seguinte, estava distribuindo comida na Favela do Vietnã.

ELE ESTAVA DISTRIBUINDO COMIDA NA FAVELA",amandapaschoal.bsky.social,Minion do Boules,2024-10-05T09:54:32Z,0,0,0,2024-10-05T09:53:45Z,johnlester5.bsky.social,John Lester,did:plc:mecq2mmvsxdhnqb6egwbduco,"Boules, Minion",2
at://did:plc:64725fhwtxf7wjz3sloe2bgq/app.bsky.feed.post/3l5sfoahqsj2i,bafyreie7oo4mvqc2us7ywdpghircl7n5xtpmsovlghgkk73qb4y7kxvfca,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5qdxx54772x,"O que Pablo Marçal fez hoje é CRIMINOSO.

Ele postou um falso laudo que supostamente provaria que Boulos foi internado por ""uso de drogas"".

No dia da falsa internação, ele estava fazendo Live. No dia seguinte, estava distribuindo comida na Favela do Vietnã.

ELE ESTAVA DISTRIBUINDO COMIDA NA FAVELA",amandapaschoal.bsky.social,"Lugar desse picareta criminoso é na cadeia.
Já passou da hora.",2024-10-05T23:11:29Z,0,0,0,2024-10-05T23:11:29Z,gis1104.bsky.social,Gis1104,did:plc:64725fhwtxf7wjz3sloe2bgq,Lugar,1
at://did:plc:wwgh3zngtlvsleck7262ionk/app.bsky.feed.post/3l5ozq6dfdr25,bafyreihe5quscem4ftnexxmhivzvfdfihgxocnh4cezz7hwgk5mho7zh5m,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5oxz3hc4v2t,"VITÓRIA: METRÔ E TRENS SERÃO GRATUITOS NO DOMINGO ✊🏽

Votar é um DIREITO! E, após eu acionar o Governo de São Paulo, o Metrô e os trens da CPTM serão GRATUITOS no dia da eleição!

+ 👇🏽",amandapaschoal.bsky.social,Piada,2024-10-04T14:59:49Z,0,0,0,2024-10-04T14:59:49Z,corocor.bsky.social,NA,did:plc:wwgh3zngtlvsleck7262ionk,Piada,1
at://did:plc:e6hhkopfq3sqgjv6iz7csjuc/app.bsky.feed.post/3l5nra7y4l72k,bafyreicijimujhul5qbnay6o3wt5lb5r2rz6yrz2lpjppl6rwhjvknlpqm,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5nq4lohp72z,"Pablo Marçal, pra dizer que não odeia as mulheres, argumentou que é casado com uma e que a esposa dele está no debate com ele.

Um argumento risível, perante seu comportamento com as mulheres.

Mas aproveito pra relembrar: nem a esposa de Marçal vai votar no Marçal.

#BoulosPrefeito50 #DebateNaGlobo",amandapaschoal.bsky.social,"Eu amo quando expõe essa foto de como ele é de verdade. Hahahah 
171 fdp. Hahahha",2024-10-04T02:55:05Z,0,0,6,2024-10-04T02:55:05Z,monpetit1456.bsky.social,Mon PeTIt!,did:plc:e6hhkopfq3sqgjv6iz7csjuc,fdp,1
at://did:plc:uhv65h7fbjfqf734yhevtjyd/app.bsky.feed.post/3l5nmw7tb462r,bafyreiczvhjej7maprdf4zozkh5v5cfjf3bdudd6yaue4sxwqlbdgy5ske,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5nmhzeslk2h,"Pablo Marçal disse que vai acabar com a criminalidade instituindo um mês de ""jejum de crime"".

Eu não entendi.

Ele vai parar de cometer crimes por um mês e acha que todos os criminosos vão fazer o mesmo?

E o jejum de crime duraria só um mês porque? Ele não aguenta ficar dois sem cometer crime?",amandapaschoal.bsky.social,Patético! 🤣🤣🤣,2024-10-04T01:37:55Z,0,0,0,2024-10-04T01:37:55Z,lucianamignoni.bsky.social,Luciana Mignoni,did:plc:uhv65h7fbjfqf734yhevtjyd,Patético,1
at://did:plc:qjk45dcfdtsykprnqdibjzc2/app.bsky.feed.post/3l5nrrhzonb2q,bafyreiay2sytcyynn3lvjaeuvusl2kfhqqyofomcv7isxpaqr7oh57yanu,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5nmhzeslk2h,"Pablo Marçal disse que vai acabar com a criminalidade instituindo um mês de ""jejum de crime"".

Eu não entendi.

Ele vai parar de cometer crimes por um mês e acha que todos os criminosos vão fazer o mesmo?

E o jejum de crime duraria só um mês porque? Ele não aguenta ficar dois sem cometer crime?",amandapaschoal.bsky.social,"Dizem coisas absurdas para ficar em evidência, precisam de polêmica. Lixo!
Método.",2024-10-04T03:04:45Z,0,0,0,2024-10-04T03:04:44Z,marizil.bsky.social,Izilda 🇧🇷🇪🇭 🚩,did:plc:qjk45dcfdtsykprnqdibjzc2,Lixo,1
at://did:plc:626iyyvaj4vbbpol3ngoggmc/app.bsky.feed.post/3l5ox5asuve23,bafyreiewbshhr5ry3gc6xvmebxxtfjwiv7inwshkv4u7dzcmn7vpt5caje,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5nmhzeslk2h,"Pablo Marçal disse que vai acabar com a criminalidade instituindo um mês de ""jejum de crime"".

Eu não entendi.

Ele vai parar de cometer crimes por um mês e acha que todos os criminosos vão fazer o mesmo?

E o jejum de crime duraria só um mês porque? Ele não aguenta ficar dois sem cometer crime?",amandapaschoal.bsky.social,Pisolista querendo ter moral? Piada pronta olha pra tua cara primeiro pra falar dos outros palhaça.,2024-10-04T14:13:27Z,0,0,0,2024-10-04T14:13:27Z,sakurapari.bsky.social,NA,did:plc:626iyyvaj4vbbpol3ngoggmc,Piada,1
at://did:plc:tezqguysdb4rl6tm54ugjaef/app.bsky.feed.post/3l5paq7qxgn2w,bafyreihrw5amyotmev4qktb67vykapfnydzmyjmzqf72e73zyddiu6brpu,at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l5nk4bhnbt2d,"Me preparando para o Debate da Globo, que começa daqui a pouco.",guilhermeboulos.bsky.social,Boules não vai ganhar kkkkk,2024-10-04T17:05:06Z,0,0,0,2024-10-04T17:05:06Z,allvesbs.bsky.social,Júlio Alves,did:plc:tezqguysdb4rl6tm54ugjaef,Boules,1
at://did:plc:hmguzagkh3z7643q2xg6bjp7/app.bsky.feed.post/3l5norrotsg2c,bafyreidgdktzodbtv7awizx5wla2folikbyni7chq5k6yrgqmhya3flf5m,at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l5nk4bhnbt2d,"Me preparando para o Debate da Globo, que começa daqui a pouco.",guilhermeboulos.bsky.social,Lixo,2024-10-04T02:11:13Z,0,0,0,2024-10-04T02:11:13Z,mafiedler.bsky.social,NA,did:plc:hmguzagkh3z7643q2xg6bjp7,Lixo,1
at://did:plc:zirwtgb7gscamn6buxoh3zs4/app.bsky.feed.post/3l5p37zz4we2v,bafyreibjofekcjtaz6o4hwmegg6dnqcitxqdgqg3ova66mnwixawi5tzpi,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5mpf3nvot2x,"Isso parece algo tão tosco, mas atrapalha muito a vida de idosos, de quem faz integração, dos moradores das periferias e região metropolitana, dos turistas e de quem não tem celular.

Tudo pra economizar o que, no universo das políticas de mobilidade, seria equivalente à uma coxinha e um refri.",amandapaschoal.bsky.social,"Tecnologia exclusiva, dificulta a vida de muitas pessoas. 

Além de nem haver segurança para ficar dependendo de celularar na rua. 

Péssimo para turistas. 
O correto seria ter as duas opções, mapas e QR pra quem quiser.",2024-10-04T15:26:35Z,0,0,0,2024-10-04T15:26:35Z,alfasierra.bsky.social,AlfaSierra,did:plc:zirwtgb7gscamn6buxoh3zs4,Péssimo,1
at://did:plc:htnhptliimvqdde7jg5ufanm/app.bsky.feed.post/3l5mpqyhob72y,bafyreih5f6mjerhwvsvjyzos3iab3lqzsvmzthypwyt23q3jikmx2tejyu,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5mpf3nvot2x,"Isso parece algo tão tosco, mas atrapalha muito a vida de idosos, de quem faz integração, dos moradores das periferias e região metropolitana, dos turistas e de quem não tem celular.

Tudo pra economizar o que, no universo das políticas de mobilidade, seria equivalente à uma coxinha e um refri.",amandapaschoal.bsky.social,"E quem tem celular e nao quer tirar da bolsa pra nao ser roubado?

Presta pra nada isso aí.",2024-10-03T16:56:01Z,0,0,14,2024-10-03T16:56:01Z,exploradoraurbana.bsky.social,Exploradora Urbana,did:plc:htnhptliimvqdde7jg5ufanm,Presta,1
at://did:plc:cls3szxjwnrg67wsix7kdjtq/app.bsky.feed.post/3l5mu5nrhlc2o,bafyreihtahihk53thtagm5j47cwej6qjpns3dvklefzrgw47omaijsrgpm,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5mpf3nvot2x,"Isso parece algo tão tosco, mas atrapalha muito a vida de idosos, de quem faz integração, dos moradores das periferias e região metropolitana, dos turistas e de quem não tem celular.

Tudo pra economizar o que, no universo das políticas de mobilidade, seria equivalente à uma coxinha e um refri.",amandapaschoal.bsky.social,"Muito bonita a mensagem que isso passa:
""Não tem ou está sem seu celular? Pau no seu c*!""",2024-10-03T18:14:41Z,0,0,0,2024-10-03T18:14:41Z,paladino-sombrio.bsky.social,LeninBolado ☭,did:plc:cls3szxjwnrg67wsix7kdjtq,Pau,1
at://did:plc:oq4wv7abvhtrih227mvcqihq/app.bsky.feed.post/3l5mlglzfj622,bafyreiamqxfwmioxhiprtp5qzej3mafx36dgz2sfqemzm7adfcwmqkrc7m,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5mk2an3q62j,"NÃO ESTAMOS DOENTES! PAREM DE NOS MATAR!

Eu e a Deputada Erika Hilton denunciamos o Pastor Flávio do Amaral ao Ministério Público por LGBTfobia e TORTURA após o suicídio da travesti Letícia Maryon, aos 22 anos.

Letícia foi uma das vítimas desse pastor que pratica a ""destransição"" e a ""cura gay"" +👇🏽",amandapaschoal.bsky.social,Toma tento sujeitas!!! Cada um é responsável por si mesmo. Vergonha!!! Tanta coisa errada pra ser discutida e vc de mi mi mi. Merece perder o mandato.,2024-10-03T15:38:37Z,1,0,0,2024-10-03T15:38:37Z,valgonzalez.bsky.social,Val Gonzalez,did:plc:oq4wv7abvhtrih227mvcqihq,Vergonha,1
at://did:plc:ezgjg7rxvngzxitjihwmapkj/app.bsky.feed.post/3l5ncbvu6gj2v,bafyreiaijovz3qbglx6bhafn3br74ubwltwcrdkvxoqe25s6wh26olayom,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5mk2an3q62j,"NÃO ESTAMOS DOENTES! PAREM DE NOS MATAR!

Eu e a Deputada Erika Hilton denunciamos o Pastor Flávio do Amaral ao Ministério Público por LGBTfobia e TORTURA após o suicídio da travesti Letícia Maryon, aos 22 anos.

Letícia foi uma das vítimas desse pastor que pratica a ""destransição"" e a ""cura gay"" +👇🏽",amandapaschoal.bsky.social,Lugar de pastores bozoloides é na cadeia junto com o Demônio Genocida e sua quadrilha evangélica.,2024-10-03T22:27:35Z,0,2,4,2024-10-03T22:27:35Z,lula23a30.bsky.social,NA,did:plc:ezgjg7rxvngzxitjihwmapkj,"Demônio, Genocida, Lugar",3
at://did:plc:4kc4t74tx43j4rm3fbq4sycj/app.bsky.feed.post/3l5mm5kymlq2h,bafyreif3p52ade5zff5qj2w65npdeqpw54r4khsmg3zxgkp33tb2nb7xpy,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5mk2an3q62j,"NÃO ESTAMOS DOENTES! PAREM DE NOS MATAR!

Eu e a Deputada Erika Hilton denunciamos o Pastor Flávio do Amaral ao Ministério Público por LGBTfobia e TORTURA após o suicídio da travesti Letícia Maryon, aos 22 anos.

Letícia foi uma das vítimas desse pastor que pratica a ""destransição"" e a ""cura gay"" +👇🏽",amandapaschoal.bsky.social,"Pq esta merda está aparecendo pra mim? Bluesky, seja menas 

Lixo",2024-10-03T15:51:27Z,1,0,0,2024-10-03T15:51:27Z,amsupremee.bsky.social,Amy,did:plc:4kc4t74tx43j4rm3fbq4sycj,Lixo,1
at://did:plc:bjlbxgbmpskkldxojjr2mfll/app.bsky.feed.post/3l5jtr2txlx2b,bafyreic74hdba2xe6xz2zyubtkgnldks5fr35ndpdi5qntjca4j4g73pwy,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5ieqtfdxo2h,"Não! Ele fugiu do local, ainda não foi identificado e o Funilaria Bixiga não entregou as imagens das câmeras!

É um absurdo sem tamanho!",amandapaschoal.bsky.social,Esse bar é um dos lugares mais insalubres que fui na vida. Péssimo em todos os sentidos.,2024-10-02T13:29:39Z,0,0,2,2024-10-02T13:29:39Z,andreteodoro.bsky.social,André Teodoro,did:plc:bjlbxgbmpskkldxojjr2mfll,Péssimo,1
at://did:plc:m2dawzbaaqkyrmqz74meuz2l/app.bsky.feed.post/3l5iecbumqh2v,bafyreidn5mukjsf27uyuc4cu6jdon65ewcodqymdwvbgdlrudaplontofq,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5ie2cpnlg2p,"🚨 AGRESSÃO LGBTFÓBICA EM SÃO PAULO

Na última quinta, um cliente do bar Funilaria Bixiga tentou atacar Leandro, um jovem gay.

E, quando Leandro tentou afastá-lo, foi atacado brutalmente com uma garrafa de cerveja, e ficou com pedaços de vidro dentro da pele de seu rosto, maxilar e de seu olho. +👇🏽",amandapaschoal.bsky.social,E o Selvagem que o atacou já está preso?,2024-10-01T23:20:09Z,3,1,28,2024-10-01T23:20:09Z,deharagao.bsky.social,Odete Roitman da 25 de março,did:plc:m2dawzbaaqkyrmqz74meuz2l,Selvagem,1
at://did:plc:hpbrdfvzvmxxwhbzjzc7nxxk/app.bsky.feed.post/3l5jzyolrr72r,bafyreihwxiyio2ugv6rhi3jikyy2lbjpwpx4krp6hltl7f6ckkiqsilsa4,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5ie2cpnlg2p,"🚨 AGRESSÃO LGBTFÓBICA EM SÃO PAULO

Na última quinta, um cliente do bar Funilaria Bixiga tentou atacar Leandro, um jovem gay.

E, quando Leandro tentou afastá-lo, foi atacado brutalmente com uma garrafa de cerveja, e ficou com pedaços de vidro dentro da pele de seu rosto, maxilar e de seu olho. +👇🏽",amandapaschoal.bsky.social,"Eu caçava esse fdp até o inferno, mas eu matava ele. Perderia meu réu primário sem nenhum remorço",2024-10-02T15:21:17Z,0,0,0,2024-10-02T15:21:17Z,bkwolf.bsky.social,Maycon,did:plc:hpbrdfvzvmxxwhbzjzc7nxxk,fdp,1
at://did:plc:327xnb64xzwv5bf5hqg7rtlo/app.bsky.feed.post/3l5jwou57422u,bafyreihn56veoy5xkmhwuabjyrsii6gc72ik5yqwtr6gcxlid23taktzbm,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5ie2cpnlg2p,"🚨 AGRESSÃO LGBTFÓBICA EM SÃO PAULO

Na última quinta, um cliente do bar Funilaria Bixiga tentou atacar Leandro, um jovem gay.

E, quando Leandro tentou afastá-lo, foi atacado brutalmente com uma garrafa de cerveja, e ficou com pedaços de vidro dentro da pele de seu rosto, maxilar e de seu olho. +👇🏽",amandapaschoal.bsky.social,Covarde fdp.,2024-10-02T14:22:53Z,0,0,0,2024-10-02T14:22:06Z,maironhandal.bsky.social,NA,did:plc:327xnb64xzwv5bf5hqg7rtlo,"Covarde, fdp",2
at://did:plc:jwjm3eqs4n3mod6zyhlxjcnc/app.bsky.feed.post/3l5fgqezlzd2a,bafyreih2ldom3xy3zrp4t762tqlhgtaudb3f5vhadgtiqovcvfj3tqrmxm,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5fav7llwb2p,E o apoio ao Pablo Marçal entre as mulheres que é tão pequeno que nem a esposa dele vai votar nele.,amandapaschoal.bsky.social,"Porra fake news no BLUE SKY, que nojo",2024-09-30T19:25:58Z,1,0,1,2024-09-30T19:25:58Z,queimado.bsky.social,Queimado,did:plc:jwjm3eqs4n3mod6zyhlxjcnc,Porra,1
at://did:plc:jplgynkjtah6m7iosbcmtwhu/app.bsky.feed.post/3l5fz5zgskw22,bafyreidjizm6gqtkt4g3fs6y7ixdnp774qisuk2yrl2duog27u4cndmfde,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5fav7llwb2p,E o apoio ao Pablo Marçal entre as mulheres que é tão pequeno que nem a esposa dele vai votar nele.,amandapaschoal.bsky.social,Ridículo o seu post todos nós estamos com pablo Marçal,2024-10-01T00:55:43Z,1,0,1,2024-10-01T00:55:43Z,kkkkk19.bsky.social,NA,did:plc:jplgynkjtah6m7iosbcmtwhu,Ridículo,1
at://did:plc:ja6ffe6xhrx6bcphuoxtao5a/app.bsky.feed.post/3l5httf3ygu2b,bafyreihe5rzj5kzbw2aoew2hc5wptctyi2a2mfpo25y5atbwtaooqoeiiy,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5fav7llwb2p,E o apoio ao Pablo Marçal entre as mulheres que é tão pequeno que nem a esposa dele vai votar nele.,amandapaschoal.bsky.social,Chora que tá baixo.,2024-10-01T18:25:37Z,0,0,0,2024-10-01T18:25:37Z,darlanserra.bsky.social,Darlan Serra,did:plc:ja6ffe6xhrx6bcphuoxtao5a,Chora,1
